	A0A081BKX9_9LACO	A0A083WSF6_9FLAO	A0A0D0YUU5_9LACO	A0A0H4LAX2_9LACO	A0A0J5P9G6_9LACT	A0A0R1K630_9LACO	A0A0R1MNC7_9LACO	A0A0R1RFJ4_9LACO	A0A0R1RRH5_9LACO	A0A0R1S2S1_9LACO	A0A0R1WWN2_9LACO	A0A0R2DGS6_9LACO	A0A0R2DLB6_9LACO	A0A0R2FVI8_9LACT	A0A0R2HM97_9FIRM	A0A0R2HZC9_9LACO	A0A0R2I8Q5_9LACO	A0A0R2JSC5_9LACO	A0A133YDF1_9FIRM	A0A1E5KUU0_9ENTE	A0A1G9IV55_9CLOT	A0A1I0EHL5_9FIRM	A0A1P8Q111_9LACO	A0A1T4LEJ3_9ENTE	A0A1X4N9Z9_9PROT	A0A1Y4G2J4_9ACTN	A0A261F7M3_9BIFI	A0A2A2AHF0_9BURK	A0A2K2U9X6_9ACTN	B5CL59_9FIRM	C2D302_LACBR	D4J3S7_9FIRM	E0NI75_PEDAC	E1QW44_OLSUV	E2SS22_9FIRM	F7UWL3_EEGSY	G2KVM6_LACSM	I7L6U4_9LACO	J9W3C2_LACBU	M4YX12_STREQ	R5FLM1_9ACTN	R5RU71_9CLOT	R5SXF4_9CLOT	R6I3U9_9ACTN	R6ZAM8_9CLOT	R7GMQ9_9FIRM	R7I2K1_9CLOT	R7N9S8_9FIRM	R9MHT9_9FIRM	T0UPW4_9STRE	T0UXW1_9STRE	U2VD49_9ACTN	W9EE99_9LACO	X0QNI0_9LACO
T0UXW1_9STRE	93.18708664335716	2.5686362358410126	84.6575773191778	84.72124639904717	80.88605664769318	83.25963731050575	81.35654732351381	75.6382721639824	95.37675070960209	88.16749108729375	86.8239087409443	95.45593195564972	75.13076828026901	89.6575773191778	86.25181197299379	85.1249387366083	89.7447274948967	86.3279021420643	105.95860731484177	106.48148606012212	59.10790539730952	84.53760200210105	80.95860731484177	93.60205999132795		79.6382721639824	78.14874165128094		79.36653154442041	72.53760200210105	93.1249387366083	70.88605664769318	84.16115090926273	66.14874165128093		80.05551732784983	88.45593195564973	80.85387196432177	89.6575773191778	259.08618614761633	76.6575773191778	71.76955107862173	75.31875876262441	78.53760200210105	66.24412514432751	82.61978875828841	87.3279021420643	74.69897000433602	70.67778070526609		1000000.0	73.60205999132795	85.6382721639824	85.39794000867205
U2VD49_9ACTN	136.85387196432177		153.3665315444204	180.7447274948967	165.38721614328026	143.0	160.6777807052661	145.92081875395237	151.22914798835785	165.37675070960208	155.7958800173441	155.3098039199715	149.92081875395237	152.72124639904717	189.26760624017703	158.53760200210104	160.39794000867204	159.60205999132796	126.46852108295776	147.58502665202914	160.30102999566398	186.88605664769312	182.69897000433602	131.0409586076789	5.494850021680094	1000000.0	164.22914798835785	6.455931955649724	1000000.0	157.2924298239021	159.6777807052661	157.92081875395237	148.46852108295775	1000000.0		1000000.0	167.7958800173441	153.65757731917782	165.6197887582884	163.6777807052661	1000000.0	156.50863830616572	165.2757241303992	1000000.0	155.69897000433602	172.7958800173441	207.3098039199715	177.2518119729938	159.38721614328026	55.35654732351382	74.36653154442041	1000000.0	161.65757731917782	154.32790214206432
W9EE99_9LACO	1000000.0		1000000.0	199.95860731484177	211.44369749923268	281.63827216398244	308.1079053973096	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	278.9208187539524	213.5528419686578	180.537602002101	1000000.0	1000000.0	1000000.0	131.22184874961636	140.08092190762392	147.7695510786217	168.22914798835785	192.5228787452804	115.7447274948967		153.10237290870955	178.22914798835785	5.795880017344076	163.3665315444204	168.46852108295775	1000000.0	172.7447274948967	1000000.0	158.50863830616572	2.853871964321762	161.6777807052661	1000000.0	306.67778070526606	1000000.0	168.65757731917782	148.568636235841	162.74472749489667	163.42021640338317	157.95860731484174	170.20760831050174	160.7958800173441	169.03621217265444	146.11350927482755	165.2924298239021	61.958607314841785	86.45593195564973	160.52287874528034	1000000.0	209.5228787452804
A0A0J5P9G6_9LACT	213.33724216831845		208.0	176.4948500216801	1000000.0	180.95860731484177	199.61978875828842	193.5850266520292	210.7695510786217	216.0315170514461	212.36653154442038	199.69897000433602	169.45593195564973	1000000.0	173.01322826573374	212.61978875828842	213.45593195564973	213.0	102.95860731484177	147.92081875395237	147.2924298239021	170.1487416512809	194.34678748622463	132.45593195564973		164.95860731484174	267.130768280269	5.327902142064284	165.6382721639824	165.1938200260161	210.60205999132802	159.95860731484174	211.21467016498923	164.82390874094432		159.37675070960208	217.537602002101	201.05551732784986	204.85387196432174	155.10237290870955	150.72124639904717	147.2839966563652	154.15490195998575	163.00436480540242	158.15490195998575	173.42021640338317	163.69897000433602	123.23657200643706	163.25963731050575	57.02227639471115	80.88605664769318	163.58502665202914	211.61978875828842	276.0315170514461
A0A0R1K630_9LACO	1000000.0		315.61978875644445	163.02227639471116	181.65757731917782	1000000.0	1000000.0	301.40893539297355	1000000.0	1000000.0	1000000.0	1000000.0	237.60205999132802	191.02227639471118	148.85387196432174	303.07572071393815	1000000.0	299.8860566476932	114.79588001734407	138.72124639904717	142.2441251443275	138.50863830616572	169.18045606445813	102.50863830616571		139.431798275933	164.18045606445813	6.229147988357856	138.37675070960208	151.33724216831845	307.85387196432174	149.52287874528034	1000000.0	145.2924298239021		149.95860731484174	292.7212463990472	278.2365720064371	1000000.0	152.1938200260161	148.22914798835785	139.58502665202914	140.22914798835785	143.6382721639824	145.92081875395237	145.60205999132796	157.16115090926274	129.14266750356873	146.95860731484174	48.958607314841785	83.79588001734406	143.95860731484174	282.65757731917785	176.82390874094432
A0A0R1MNC7_9LACO	1000000.0		1000000.0	178.537602002101	200.13076828026902	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	263.76955107862165	195.13667713987957	162.55284196865782	1000000.0	1000000.0	309.5086383061657	113.2839966563652	134.10790539730948	144.12493873660833	144.92081875395237	172.20065945054642	104.85387196432177		149.4089353929735	166.92081875395237	4.795880017344076	154.65757731917782	160.568636235841	1000000.0	156.6197887582884	1000000.0	161.26760624017703		148.7958800173441	301.67778070526606	294.52287874528037	1000000.0	155.18708664335713	145.3665315444204	150.07058107428568	154.08618614761627	154.568636235841	146.88605664769315	151.92081875395237	157.55284196865782	147.2006594505464	146.17392519729918	46.25963731050576	81.69897000433602	160.60205999132796	308.85387196432174	184.6777807052661
A0A0R1RFJ4_9LACO	1000000.0		1000000.0	165.52287874528034	192.60205999132802	300.01772876696043	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	278.3098039199715	185.9208187539524	160.88605664769315	1000000.0	1000000.0	1000000.0	108.44369749923271	143.46852108295775	131.82390874094432	161.82390874094432	165.69897000433602	119.33724216831844	5.142667503568732	151.568636235841	168.85387196432174	2.920818753952376	147.60205999132796	159.6777807052661	1000000.0	160.2441251443275	1000000.0	140.6777807052661		151.7958800173441	1000000.0	1000000.0	1000000.0	154.4948500216801	139.38721614328026	136.45593195564973	146.65757731917782	154.4948500216801	154.37675070960208	155.39794000867204	157.6777807052661	140.45593195564973	146.7695510786217	51.58502665202919	76.74472749489671	145.2839966563652	1000000.0	170.60205999132796
A0A0R1RRH5_9LACO	1000000.0		1000000.0	197.45593195564973	210.69897000433602	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	303.42021640338317	211.16115090926274	167.22914798835785	1000000.0	1000000.0	1000000.0	114.69897000433602	155.6197887582884	160.7695510786217	161.03621217265444	187.42021640338317	128.26760624017703	2.3187587626244133	144.82390874094432	184.0409586076789	6.7447274948966935	148.92081875395237	179.95860731484177	1000000.0	174.92081875395237	1000000.0	142.2518119729938		153.72124639904717	1000000.0	1000000.0	1000000.0	175.05551732784986	140.82390874094432	175.65757731917782	173.06048074738138	158.44369749923268	174.02227639471116	153.85387196432174	171.0	155.92081875395237	176.01772876696046	52.60205999132796	96.38721614328028	150.85387196432174	1000000.0	215.22914798835785
A0A0R2FVI8_9LACT	206.82390874094432		199.31875876262438	174.88605664769312	1000000.0	190.85387196432174	194.9208187539524	186.33724216831845	211.4814860601221	197.10790539730948	203.33724216831845	196.65757731917782	166.55284196865782	1000000.0	185.11350927482755	228.7447274948967	216.7958800173441	212.32790214206432	106.18045606445813	145.74472749489667	147.0268721464003	176.00877392430752	211.5850266520292	108.38721614328028	3.769551078621726	155.95860731484174	277.02227639471107	5.6777807052660805	154.4089353929735	169.18708664335713	205.431798275933	171.2924298239021	206.2924298239021	152.568636235841		158.74472749489667	207.65757731917782	194.82390874094432	205.65757731917782	153.53760200210104	153.2441251443275	167.39794000867204	166.18045606445813	151.60205999132796	175.34678748622468	182.7695510786217	163.4948500216801	126.4089353929735	165.50863830616572	53.744727494896686	90.6382721639824	152.6777807052661	213.85387196432174	300.76955107862165
E1QW44_OLSUV	135.7695510786217		148.22184874961638	165.60205999132796	166.431798275933	144.92081875395237	160.65757731917782	141.88605664769315	142.6197887582884	164.85387196432174	153.45593195564973	147.58502665202914	150.2924298239021	152.82390874094432	192.09151498112132	159.16115090926274	160.31875876262438	158.17392519729918	124.7447274948967	150.48148606012208	151.69897000433602	179.13667713987954	179.58502665202914	131.45593195564973	4.657577319177793	1000000.0	157.55284196865782	4.0	1000000.0	158.2924298239021	154.37675070960208	158.7958800173441	151.52287874528034	1000000.0		1000000.0	154.7695510786217	155.85387196432174	163.92081875395237	153.6197887582884	1000000.0	148.82390874094432	162.23657200643706	1000000.0	151.58502665202914	180.15490195998572	194.01772876696046	163.74472749489667	155.85387196432174	58.35654732351382	66.10237290870954	1000000.0	159.39794000867204	148.48148606012208
R5FLM1_9ACTN	140.37675070960208		151.20760831050174	176.52287874528034	152.0	148.44369749923268	146.18708664335713	140.82390874094432	141.85387196432174	149.6382721639824	148.52287874528034	144.6197887582884	140.14874165128091	154.92081875395237	185.01322826573372	144.88605664769315	157.10237290870955	148.50863830616572	136.04575749056067	158.18045606445813	153.2441251443275	185.35654732351378	178.95860731484177	126.60205999132795	3.2441251443275085	1000000.0	156.09691001300806		1000000.0	163.16749108729377	152.7695510786217	158.7695510786217	143.69897000433602	1000000.0		1000000.0	146.11350927482755	157.37675070960208	150.37675070960208	162.6197887582884	1000000.0	143.6382721639824	160.60205999132796	1000000.0	156.3565473235138	184.5228787452804	204.7958800173441	171.09151498112138	154.26760624017703	53.92081875395238	77.60205999132795	1000000.0	150.17392519729918	152.55284196865782
R6ZAM8_9CLOT	163.20760831050174		164.7695510786217	162.431798275933	158.4948500216801	144.95860731484174	146.33724216831845	154.82390874094432	174.10790539730948	165.7958800173441	163.2839966563652	160.95860731484174	139.7695510786217	175.04575749056067	194.38721614328026	187.0315170514461	174.92081875395237	164.69897000433602	129.95860731484177	147.38721614328026	1000000.0	189.9208187539524	178.82390874094432	106.45593195564972	2.853871964321762	163.25963731050575	145.88605664769315	4.4685210829577455	163.0	1000000.0	168.45593195564973	1000000.0	167.05551732784986	150.92081875395237		148.11350927482755	166.72124639904717	163.1487416512809	167.22914798835785	156.7695510786217	154.95860731484174	1000000.0	1000000.0	166.01772876696043	1000000.0	193.44369749923268	189.15490195998572	155.52287874528034	1000000.0	63.04095860767891	67.58502665202919	154.52287874528034	169.88605664769315	161.72124639904717
R7N9S8_9FIRM	143.2839966563652		154.6382721639824	166.23657200643706	120.08618614761627	126.8239087409443	143.92081875395237	137.88605664769315	151.95860731484174	134.21467016498923	157.06550154875646	145.05551732784986	142.60205999132796	122.4948500216801	210.60205999132802	144.6382721639824	151.92081875395237	141.58502665202914	132.95860731484177	151.34678748622466	148.3665315444204	194.95860731484177	164.22914798835785	114.07058107428571		185.56863623584098	113.79588001734407	3.7958800173440754	193.60205999132802	164.69897000433602	140.26760624017703	151.65757731917782	148.32790214206432	160.32790214206432		178.65757731917782	136.32790214206432	140.15490195998578	148.92081875395237	154.6197887582884	166.23657200643706	151.85387196432174	150.13076828026902	172.7447274948967	151.39794000867204	197.32790214206432	1000000.0	1000000.0	153.58502665202914	51.236572006437065	73.58502665202919	173.22914798835785	143.18045606445813	111.2839966563652
R9MHT9_9FIRM	162.18708664335713		163.74472749489667	155.50863830616572	163.6382721639824	146.92081875395237	146.3665315444204	148.07572071393813	177.0	170.10790539730948	170.6197887582884	164.85387196432174	146.6777807052661	165.53760200210104	191.10237290870955	179.56863623584098	163.74472749489667	157.95860731484174	129.29242982390207	151.2757241303992	1000000.0	194.95860731484177	157.95860731484174	104.72124639904716	8.173925197299173	161.2518119729938	152.60205999132796	6.769551078621726	158.31875876262438	1000000.0	163.44369749923268	1000000.0	182.9208187539524	155.72124639904717		160.10790539730948	163.31875876262438	167.6777807052661	170.6382721639824	152.04575749056067	153.85387196432174	1000000.0	1000000.0	167.0809219076239	1000000.0	196.65757731917782	171.45593195564973	158.92081875395237	1000000.0	62.853871964321755	72.09151498112134	159.44369749923268	166.07572071393813	161.46852108295775
X0QNI0_9LACO	194.4814860601221		194.61978875828842	191.14266750356876	276.9208187539524	177.65757731917782	185.16749108729374	172.00436480540245	216.2839966563652	194.33724216831845	207.0809219076239	205.08618614761627	161.82390874094432	301.58502665202917	178.30102999566398	215.82390874094432	219.4948500216801	199.69897000433602	99.88605664769315	139.7447274948967	141.85387196432174	166.00436480540242	219.7447274948967	124.4089353929735		163.39794000867204	1000000.0		161.95860731484174	164.30102999566398	208.7958800173441	161.55284196865782	208.69897000433602	148.92081875395237		146.2518119729938	208.11350927482755	196.88605664769312	197.11350927482755	154.23657200643706	152.22914798835785	156.58502665202914	161.14266750356873	155.58502665202914	162.82390874094432	172.32790214206432	146.74472749489667	114.30102999566398	161.7695510786217	52.130768280269024	85.95860731484177	154.0809219076239	211.11918640771918	1000000.0
A0A0R2DLB6_9LACO	267.0705810742857		287.301029995664	166.95860731484174	167.88605664769315	235.63827216398238	262.1487416512809	277.5228787452804	302.3467874862247	1000000.0	289.08618614761633	292.5528419686578	1000000.0	164.52287874528034	143.08618614761627	1000000.0	291.9586073148418	260.2596373105057	115.29242982390207	131.16115090926274	131.45593195564973	153.22184874961638	178.56863623584098	102.6382721639824		139.92081875395235	143.45593195564973		145.46852108295775	153.52287874528034	1000000.0	148.01322826573374	1000000.0	149.33724216831845		151.85387196432174	263.7447274948967	285.130768280269	1000000.0	150.74472749489667	136.95860731484177	147.25963731050575	147.0809219076239	158.50863830616572	139.0	156.88605664769315	146.03621217265444	144.55284196865782	143.85387196432174	51.853871964321755	75.36653154442041	149.13667713987954	277.8239087409443	159.13667713987954
A0A1T4LEJ3_9ENTE	125.36653154442041		117.2839966563652	118.46852108295776	131.20760831050174	102.14874165128091	104.04575749056069	115.22184874961636	126.6575773191778	116.29242982390207	128.6777807052661	123.23657200643706	101.88605664769315	105.11918640771921	124.15490195998576	119.19382002601613	134.33724216831845	115.61978875828841	112.8239087409443	195.7695510786217	97.26760624017705	117.02687214640032	113.88605664769315	1000000.0		138.0	129.01322826573374		140.4202164033832	115.4089353929735	110.85387196432177	112.5528419686578	107.8239087409443	128.60205999132796		131.23657200643706	116.85387196432177	117.18708664335716	112.8239087409443	151.82390874094432	124.58502665202921	109.03621217265444	110.6382721639824	135.7695510786217	103.27572413039921	121.37675070960209	134.04575749056067	114.03151705144606	101.01322826573376	42.958607314841785	92.6575773191778	128.22184874961636	114.0	122.21467016498924
I7L6U4_9LACO	1000000.0		1000000.0	170.7695510786217	198.4948500216801	274.6197887582884	292.4948500216801	1000000.0	1000000.0	1000000.0	1000000.0	1000000.0	282.92081875395235	192.537602002101	150.3098039199715	1000000.0	1000000.0	315.61978875644445	116.01322826573376	151.39794000867204	153.23657200643706	149.23657200643706	188.4948500216801	116.79588001734407	8.119186407719209	156.07058107428568	179.7695510786217	3.2757241303992117	154.18708664335713	169.95860731484174	1000000.0	172.19382002601608	1000000.0	153.38721614328026		160.38721614328026	1000000.0	1000000.0	1000000.0	151.2924298239021	154.01772876696043	168.0506099933551	165.7695510786217	158.2006594505464	161.2757241303992	159.48148606012208	155.31875876262438	141.3565473235138	165.15490195998575	48.21467016498924	80.69897000433602	151.3565473235138	304.7212463990472	194.0
R5RU71_9CLOT	157.85387196432174		154.82390874094432	156.38721614328026	146.72124639904717	138.30102999566398	148.45593195564973	136.03621217265444	175.31875876262438	165.00877392430755	163.07572071393813	168.31875876262438	147.85387196432174	166.20760831050174	177.2839966563652	181.09691001300808	163.82390874094432	161.18708664335713	122.85387196432177	142.88605664769315	1000000.0	180.26760624017703	185.7958800173441	111.88605664769315	6.443697499232713	168.1487416512809	148.46852108295775	10.200659450546418	160.44369749923268	1000000.0	156.95860731484174	1000000.0	169.74472749489667	146.65757731917782		146.45593195564973	165.01322826573374	169.23657200643706	163.6777807052661	151.26760624017703	141.58502665202914	1000000.0	1000000.0	159.88605664769315	1000000.0	183.95860731484177	180.85387196432174	155.50863830616572	1000000.0	52.6575773191778	72.38721614328027	154.09151498112138	161.82390874094432	154.88605664769315
R5SXF4_9CLOT	167.31875876262438		154.1487416512809	165.82390874094432	154.58502665202914	139.3098039199715	153.13076828026902	146.58502665202914	172.82390874094432	169.72124639904717	172.00877392430752	162.13667713987954	147.08618614761627	165.50863830616572	184.11918640771918	180.63827216398238	169.60205999132796	156.92081875395237	124.53760200210104	148.0409586076789	1000000.0	187.5528419686578	179.69897000433602	115.34678748622466	6.619788758288393	172.95860731484177	146.85387196432174	6.823908740944319	171.05551732784986	1000000.0	168.82390874094432	1000000.0	179.39794000867204	160.58502665202914		166.6382721639824	169.1487416512809	167.44369749923268	177.13076828026902	151.3565473235138	158.46852108295775	1000000.0	1000000.0	167.18708664335713	1000000.0	185.05551732784986	193.69897000433602	153.88605664769315	1000000.0	53.10237290870956	76.03151705144606	164.6197887582884	163.2441251443275	160.0409586076789
E2SS22_9FIRM																	2.5228787452803374	2.920818753952376																	1000000.0		2.3872161432802645			2.207608310501746													2.853871964321762	
A0A083WSF6_9FLAO		1000000.0																																						2.397940008672037											2.619788758288394			
A0A2A2AHF0_9BURK	9.346787486224656		9.82390874094432	3.9208187539523753	4.721246399047171	6.508638306165728	4.769551078621727	2.5228787452803374	6.6020599913279625	6.142667503568733	9.568636235841012	9.494850021680094		5.585026652029182		9.537602002101043	5.9586073148417755	6.327902142064282		3.853871964321762	5.9586073148417755	5.721246399047171			57.275724130399205	4.698970004336019	6.638272163982407	1000000.0	4.6777807052660805	5.187086643357143	5.920818753952375	6.443697499232713	8.657577319177793	3.886056647693163		3.508638306165728	6.008773924307505	2.5228787452803374	3.2676062401770314	2.8239087409443187		9.638272163982409	6.431798275933005	6.080921907623925	4.795880017344076	4.657577319177793	6.301029995663981	3.3665315444204134	6.9586073148417755			6.721246399047171	5.7447274948966935	
A0A1X4N9Z9_9PROT	6.130768280269023							4.795880017344076	2.4814860601221125	4.585026652029182		4.0		3.6197887582883936		5.619788758288393					3.5528419686577815				1000000.0			57.11350927482753		8.075720713938116		10.0		4.698970004336019			2.7212463990471707	7.508638306165728		2.8239087409443187	3.3767507096021	6.251811972993798	6.585026652029183	4.508638306165727	3.2441251443275085				8.0			5.6020599913279625		
